Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
A41740,0.488,0.406,0.733,0.845
A88100,0.26,0.223,0.42,0.156
S85576,0.653,0.53,0.697,0.683
S41849,0.559,0.47,0.783,0.645
P85952,0.4,0.539,0.622,0.737
A60057,0.131,0.201,0.449,0.507
X73642,0.841,0.669,0.901,0.818
A55134,0.289,0.217,0.879,0.746
P61080,0.248,0.15,0.44,0.484
A40025,0.591,0.506,0.711,0.758
P58600,0.218,0.283,0.613,0.607
A78968,0.466,0.497,0.684,0.78
X30900,0.355,0.398,0.735,0.932
S59456,0.195,0.142,0.456,0.389
D50898,0.231,0.164,0.658,0.569
D45892,0.258,0.191,0.809,0.635
D18346,0.541,0.469,0.792,0.699
A22600,0.2,0.229,0.271,0.256
S97987,0.311,0.258,0.79,0.818
D95854,0.514,0.423,0.734,0.707
P96313,0.197,0.193,0.885,0.877
P23681,0.256,0.248,0.534,0.586
D42207,0.807,0.651,0.885,0.832
S23026,0.568,0.434,0.696,0.578
S13801,0.429,0.393,0.727,0.598
S61584,0.253,0.17,0.826,0.685
D68283,0.194,0.127,0.96,1.0
D58699,0.524,0.395,0.651,0.69
X52485,0.326,0.231,0.857,0.794
A81087,0.249,0.159,0.514,0.45
P18483,0.66,0.452,0.866,0.719
D76575,0.124,0.165,0.58,0.543
S30005,0.791,0.665,0.919,0.855
S10313,0.569,0.4,0.796,0.654
X75634,0.519,0.413,0.724,0.63
P49746,0.284,0.287,0.58,0.572
S29310,0.388,0.189,0.857,0.88
D66164,0.468,0.414,0.712,0.697
A44443,0.196,0.124,0.689,0.396
X52264,0.17,0.212,0.876,0.961
S45553,0.248,0.2,0.428,0.534
P16628,0.145,0.306,0.324,0.446
A67850,0.349,0.226,0.932,0.781
D10709,0.211,0.258,0.405,0.407
X77994,0.13,0.164,0.411,0.555
P66320,0.561,0.432,0.817,0.679
P77141,0.459,0.345,0.621,0.488
D84416,0.239,0.233,0.682,0.525
P47004,0.206,0.222,0.874,0.771
S32657,0.171,0.329,0.558,0.647
P82334,0.274,0.211,0.67,0.651
D41663,0.497,0.54,0.679,0.771
P67221,0.467,0.365,0.706,0.779
X63627,0.258,0.207,0.917,0.987
S93649,0.608,0.538,0.77,0.744
S15450,0.464,0.371,0.681,0.631
S94064,0.433,0.47,0.7,0.618
X73662,0.516,0.407,0.844,0.721
D58818,0.255,0.159,0.862,0.873
X75832,0.468,0.297,0.741,0.618
A16356,0.342,0.098,0.555,0.396
P75071,0.352,0.237,0.861,0.716
S96117,0.466,0.407,0.834,0.811
A13931,0.318,0.263,0.824,0.801
X20059,0.236,0.188,0.599,0.498
A52247,0.168,0.234,0.639,0.405
X76450,0.228,0.186,0.542,0.447
P94806,0.604,0.527,0.79,0.688
S91138,0.317,0.166,0.678,0.664
S27818,0.64,0.459,0.744,0.749
P33794,0.486,0.411,0.876,0.743
S68849,0.53,0.546,0.618,0.727
P50649,0.594,0.554,0.692,0.687
X84609,0.283,0.263,0.724,0.807
P80202,0.194,0.181,0.616,0.399
P31988,0.602,0.409,0.769,0.715
P14316,0.426,0.369,0.892,0.752
D77390,0.675,0.463,0.846,0.666
S54097,0.373,0.263,0.752,0.623
P27350,0.448,0.5,0.836,0.753
D26148,0.124,0.237,0.848,0.909
D51348,0.098,0.172,0.405,0.466
P45551,0.473,0.4,0.738,0.64
X72608,0.397,0.373,0.733,0.593
A29662,0.626,0.488,0.74,0.59
P56162,0.774,0.686,0.928,0.899
A89267,0.436,0.333,0.838,0.673
P59713,0.375,0.459,0.822,0.817
D50476,0.542,0.554,0.714,0.775
X10992,0.251,0.214,0.8,0.701
D71260,0.293,0.329,0.815,0.8
P30492,0.531,0.341,0.696,0.67
X66370,0.36,0.38,0.823,0.669
A51105,0.183,0.234,0.908,0.844
A71613,0.438,0.373,0.735,0.798
P71659,0.352,0.429,0.709,0.657
A65810,0.537,0.435,0.767,0.685
A40913,0.153,0.188,0.499,0.418
S98252,0.274,0.238,0.471,0.512
D95243,0.471,0.298,0.804,0.631
A50794,0.385,0.297,0.618,0.525
X97565,0.811,0.745,0.928,0.901
P41659,0.613,0.524,0.77,0.755
X10458,0.213,0.155,0.958,0.886
A15122,0.742,0.704,0.936,0.881
A58142,0.701,0.537,0.773,0.713
D61715,0.533,0.359,0.783,0.628
S15657,0.204,0.183,1.0,0.982
P96741,0.205,0.267,0.71,0.758
X56761,0.351,0.202,0.435,0.416
A43254,0.564,0.505,0.68,0.747
D58916,0.579,0.482,0.758,0.636
D14826,0.235,0.228,0.74,0.834
P91018,0.808,0.679,0.918,0.873
P84033,0.602,0.48,0.798,0.749
P81978,0.282,0.217,0.374,0.303
X33209,0.54,0.361,0.779,0.737
A93798,0.242,0.281,0.973,0.954
P96555,0.401,0.439,0.727,0.694
A94932,0.245,0.15,0.754,0.681
S18395,0.183,0.137,0.37,0.344
D98994,0.25,0.155,0.571,0.474
X96588,0.145,0.148,0.401,0.24
X41614,0.625,0.461,0.734,0.716
D27436,0.641,0.482,0.833,0.67
A59941,0.196,0.262,0.347,0.4
D39277,0.18,0.218,0.362,0.376
D90536,0.774,0.703,0.909,0.853
A13033,0.441,0.47,0.914,0.791
S60553,0.609,0.523,0.764,0.677
D22275,0.488,0.342,0.736,0.646
P10179,0.345,0.205,0.865,0.671
P46604,0.59,0.543,0.754,0.723
S45462,0.263,0.129,0.335,0.465
P53845,0.464,0.383,0.757,0.813
D60572,0.377,0.329,0.625,0.568
A86359,0.765,0.643,0.853,0.774
D39585,0.382,0.214,0.79,0.86
X46598,0.282,0.21,1.0,0.925
S46568,0.392,0.203,0.809,0.885
A39057,0.19,0.188,0.438,0.467
P13409,0.542,0.327,0.742,0.762
A83222,0.349,0.174,0.691,0.754
X72436,0.343,0.355,0.855,0.769
D13840,0.482,0.345,0.814,0.667
X94263,0.239,0.226,0.39,0.272
D67201,0.38,0.203,0.834,0.838
D14162,0.605,0.505,0.723,0.678
D12928,0.514,0.513,0.732,0.685
X62223,0.155,0.26,0.895,0.956
X74190,0.216,0.225,0.463,0.487
A41820,0.188,0.163,0.976,0.883
D54187,0.631,0.496,0.785,0.745
X61496,0.46,0.36,0.826,0.633
X88333,0.228,0.151,0.536,0.378
A79657,0.609,0.506,0.769,0.867
S33575,0.511,0.376,0.737,0.723
X61885,0.641,0.486,0.79,0.731
X35185,0.196,0.196,0.245,0.331
P18878,0.147,0.288,0.489,0.71
S37354,0.688,0.491,0.781,0.719
X96030,0.302,0.175,0.851,0.962
S90340,0.33,0.186,0.895,0.66
X25284,0.253,0.224,0.569,0.526
P80133,0.206,0.175,0.817,0.783
S79091,0.671,0.573,0.792,0.736
X28434,0.526,0.315,0.857,0.647
A33921,0.61,0.438,0.73,0.726
P96135,0.253,0.163,0.778,0.749
S76160,0.606,0.559,0.755,0.793
P37085,0.57,0.443,0.736,0.574
D90542,0.602,0.625,0.723,0.746
S39481,0.544,0.473,0.743,0.745
X93309,0.497,0.51,0.729,0.688
P66074,0.511,0.432,0.674,0.876
X39830,0.452,0.466,0.734,0.77
P36234,0.524,0.477,0.755,0.723
A25061,0.638,0.526,0.747,0.783
P27539,0.71,0.516,0.825,0.673
X95506,0.221,0.215,0.497,0.598
P28319,0.588,0.534,0.778,0.741
A33916,0.479,0.5,0.662,0.712
A71536,0.514,0.539,0.789,0.8
P33849,0.549,0.42,0.765,0.718
A64901,0.214,0.242,0.511,0.393
S95319,0.176,0.193,0.499,0.599
P30129,0.361,0.263,0.777,0.672
X65750,0.556,0.418,0.831,0.705
D20347,0.355,0.36,0.624,0.605
D62202,0.194,0.221,0.576,0.53
A76499,0.279,0.163,0.552,0.439
S45800,0.177,0.164,0.899,0.967
D14063,0.31,0.27,0.782,0.831
P86539,0.675,0.49,0.742,0.688
S99109,0.681,0.426,0.804,0.666
S13395,0.167,0.133,0.471,0.342
D49917,0.328,0.167,0.826,0.744
P54444,0.505,0.411,0.855,0.837
S88707,0.335,0.205,0.742,0.699
S99601,0.658,0.435,0.832,0.648
A28644,0.214,0.177,0.347,0.314
A98872,0.39,0.379,0.759,0.533
A26548,0.49,0.411,0.777,0.716
S81754,0.282,0.257,0.775,0.668
S13372,0.175,0.152,0.417,0.121
X21621,0.703,0.612,0.915,0.835
D25703,0.856,0.562,0.916,0.69
D46148,0.49,0.4,0.7,0.771
A41025,0.659,0.616,0.798,0.766
P22449,0.321,0.289,0.832,0.832
A17881,0.443,0.459,0.595,0.68
S19580,0.227,0.268,0.529,0.598
X45639,0.158,0.187,0.404,0.566
X50055,0.507,0.299,0.716,0.645
P31766,0.426,0.439,0.713,0.509
A73368,0.244,0.145,0.549,0.344
D75744,0.223,0.204,0.766,0.706
P88706,0.617,0.563,0.761,0.727
A87734,0.192,0.11,0.444,0.35
A46526,0.296,0.221,0.715,0.823
P68935,0.296,0.169,0.541,0.382
P41211,0.617,0.495,0.773,0.775
S71561,0.254,0.212,0.729,0.985
P36322,0.507,0.418,0.778,0.65
X57611,0.232,0.219,0.817,0.923
P35282,0.567,0.421,0.779,0.758
S81486,0.179,0.198,0.208,0.298
P91803,0.513,0.461,0.779,0.756
D97851,0.422,0.398,0.707,0.636
X34466,0.25,0.14,0.55,0.215
P90355,0.241,0.173,0.734,0.793
A16919,0.66,0.512,0.85,0.587
D58669,0.316,0.207,0.846,0.725
D84336,0.617,0.5,0.788,0.753
A67000,0.783,0.727,0.9,0.925
A94967,0.175,0.173,0.608,0.481
D41543,0.48,0.352,0.715,0.727
X80933,0.196,0.266,0.39,0.475
A14186,0.532,0.412,0.661,0.619
S36268,0.222,0.112,0.83,0.696
X16927,0.198,0.176,0.627,0.416
D11742,0.082,0.166,0.947,1.0
S31416,0.635,0.423,0.83,0.732
P33026,0.303,0.23,0.463,0.509
P82064,0.237,0.191,0.456,0.379
A62829,0.572,0.569,0.776,0.826
D19930,0.143,0.176,0.336,0.28
P51450,0.729,0.682,0.855,0.84
A84520,0.649,0.511,0.774,0.756
A45855,0.538,0.502,0.722,0.671
S77481,0.275,0.265,0.367,0.41
A84457,0.533,0.371,0.743,0.79
S22582,0.111,0.173,0.265,0.36
S49750,0.526,0.517,0.744,0.69
X43843,0.47,0.423,0.646,0.703
S46339,0.403,0.492,0.691,0.667
S77162,0.543,0.464,0.712,0.643
X77616,0.161,0.25,0.218,0.481
X12036,0.676,0.707,0.845,0.882
D96072,0.498,0.37,0.853,0.677
S15433,0.105,0.144,1.0,1.0
A49616,0.233,0.274,0.844,0.905
D64758,0.522,0.405,0.881,0.689
A64468,0.19,0.09,0.447,0.368
A79444,0.22,0.223,0.761,0.677
X11339,0.602,0.434,0.695,0.655
X72024,0.567,0.51,0.756,0.696
X51562,0.285,0.211,0.807,0.733
D43370,0.774,0.748,0.927,0.908
S76819,0.678,0.475,0.79,0.66
D99670,0.138,0.177,0.357,0.44
A22549,0.604,0.376,0.787,0.732
P15019,0.667,0.476,0.744,0.585
A19919,0.523,0.46,0.713,0.71
A33684,0.379,0.419,0.705,0.729
A10678,0.574,0.512,0.741,0.807
X10398,0.508,0.39,0.731,0.704
P50129,0.174,0.215,0.905,1.0
X16668,0.447,0.451,0.793,0.821
S97811,0.632,0.464,0.779,0.718
S68877,0.576,0.476,0.913,0.826
S30547,0.488,0.488,0.781,0.794
D65640,0.507,0.406,0.76,0.788
P67453,0.414,0.406,0.624,0.518
S54671,0.206,0.253,0.367,0.357
A10560,0.142,0.213,0.357,0.376
X85170,0.336,0.227,0.757,0.952
A68047,0.566,0.54,0.737,0.697
A80055,0.265,0.331,0.542,0.512
X90220,0.796,0.544,0.906,0.744
P84391,0.864,0.769,0.937,0.901
D75191,0.471,0.508,0.773,0.651
D64550,0.196,0.252,0.421,0.575
X62755,0.499,0.44,0.754,0.676
D78134,0.147,0.145,0.447,0.339
A71958,0.747,0.706,0.903,0.869
D20552,0.254,0.232,0.651,0.684
P98942,0.573,0.405,0.89,0.605
P81454,0.193,0.25,0.877,1.0
S59841,0.636,0.467,0.829,0.638
P35003,0.481,0.372,0.838,0.748
S95815,0.379,0.369,0.631,0.667
P91270,0.523,0.457,0.798,0.775
P16742,0.595,0.428,0.793,0.7
P79234,0.62,0.48,0.829,0.756
A53412,0.315,0.235,0.822,0.761
X79578,0.554,0.32,0.823,0.879
S90151,0.295,0.24,0.857,0.739
S40495,0.394,0.394,0.693,0.773
S35302,0.52,0.354,0.737,0.827
A21839,0.242,0.149,0.743,0.778
A81358,0.174,0.199,0.644,0.526
S62924,0.267,0.131,0.445,0.489
D97353,0.219,0.239,0.343,0.352
D50754,0.256,0.192,0.514,0.398
S19938,0.215,0.204,0.421,0.59
D86320,0.119,0.255,1.0,0.831
S30163,0.094,0.25,0.382,0.515
X79700,0.188,0.227,0.466,0.574
D30055,0.709,0.508,0.886,0.736
S64220,0.17,0.176,0.962,0.846
D38986,0.227,0.157,0.523,0.334
A41945,0.41,0.427,0.731,0.848
S25435,0.372,0.418,0.675,0.566
D67023,0.334,0.222,0.758,0.803
X23065,0.509,0.434,0.69,0.826
D63458,0.229,0.229,0.751,0.82
S92183,0.392,0.327,0.807,0.799
D93336,0.096,0.244,0.268,0.519
D99971,0.258,0.176,0.819,0.727
A31525,0.21,0.123,0.952,1.0
S93307,0.695,0.649,0.82,0.805
A24818,0.254,0.128,0.349,0.26
X74850,0.596,0.526,0.736,0.682
D94912,0.534,0.425,0.787,0.733
X87709,0.219,0.292,0.894,0.918
X32218,0.393,0.359,0.723,0.751
S99875,0.361,0.355,0.657,0.666
P92461,0.618,0.598,0.824,0.771
D36858,0.909,0.737,0.954,0.86
A55354,0.21,0.209,0.411,0.194
X97355,0.306,0.273,0.825,0.801
D85882,0.608,0.47,0.776,0.595
P97773,0.284,0.182,0.871,0.703
D76571,0.285,0.21,0.647,0.425
X93253,0.467,0.4,0.821,0.753
X36748,0.245,0.278,0.619,0.878
X39602,0.588,0.524,0.714,0.77
P42883,0.333,0.229,0.847,0.873
A62614,0.225,0.174,0.87,0.796
X79790,0.553,0.478,0.752,0.673
D38987,0.523,0.362,0.865,0.737
S77318,0.444,0.39,0.771,0.689
X82848,0.276,0.292,0.703,0.694
X28686,0.396,0.477,0.668,0.553
S67436,0.265,0.209,0.549,0.491
P61445,0.309,0.154,0.693,0.651
X27017,0.59,0.558,0.742,0.8
X56948,0.252,0.253,0.57,0.564
X32008,0.801,0.671,0.906,0.843
X19882,0.517,0.458,0.689,0.666
A28204,0.52,0.389,0.745,0.607
D64902,0.555,0.524,0.699,0.729
D74446,0.476,0.393,0.719,0.708
X21272,0.655,0.444,0.849,0.588
X43302,0.756,0.683,0.967,0.899
P52254,0.572,0.441,0.756,0.667
P47415,0.502,0.318,0.761,0.789
P69082,0.553,0.516,0.738,0.828
D25720,0.746,0.783,0.899,0.896
P10645,0.719,0.544,0.799,0.795
D77264,0.281,0.188,0.765,0.568
S37184,0.295,0.332,0.801,0.721
D68970,0.528,0.518,0.685,0.744
D34561,0.244,0.193,0.989,0.748
P56719,0.609,0.412,0.796,0.705
P72200,0.475,0.346,0.716,0.796
D83441,0.782,0.725,0.885,0.88
S25376,0.62,0.525,0.729,0.668
D43270,0.604,0.435,0.827,0.799
A53732,0.265,0.172,0.741,0.592
A62428,0.461,0.447,0.794,0.793
S35662,0.414,0.39,0.785,0.749
P94120,0.259,0.235,0.358,0.366
X51146,0.172,0.121,0.348,0.295
P95884,0.502,0.543,0.628,0.726
D65039,0.44,0.415,0.629,0.695
D69954,0.441,0.357,0.645,0.605
P65818,0.298,0.125,0.887,0.607
S70635,0.672,0.531,0.813,0.762
P54561,0.227,0.328,0.273,0.416
P19043,0.535,0.365,0.789,0.766
X97405,0.358,0.18,0.936,0.791
P66252,0.292,0.228,0.794,0.775
X13493,0.148,0.215,0.277,0.288
X72328,0.507,0.402,0.779,0.671
P17823,0.488,0.388,0.731,0.621
S59868,0.433,0.404,0.875,0.83
X75573,0.531,0.613,0.702,0.741
D87654,0.337,0.155,0.762,0.686
X23954,0.154,0.223,0.373,0.522
P73639,0.476,0.502,0.67,0.703
S28068,0.18,0.283,0.783,0.789
P89825,0.602,0.509,0.705,0.645
X46695,0.64,0.529,0.698,0.752
P50395,0.222,0.179,0.739,0.872
D94006,0.177,0.225,0.581,0.509
D70045,0.595,0.533,0.692,0.704
S64212,0.178,0.133,0.495,0.328
D61726,0.457,0.438,0.836,0.818
S67268,0.465,0.347,0.739,0.681
D50712,0.432,0.115,0.821,0.647
D21900,0.452,0.415,0.811,0.707
P62960,0.297,0.273,0.855,0.837
P95447,0.31,0.187,0.861,0.781
A98018,0.464,0.41,0.799,0.74
P47666,0.349,0.271,0.79,0.853
S39262,0.49,0.369,0.823,0.619
X18713,0.523,0.342,0.843,0.846
D14514,0.645,0.53,0.848,0.732
D90470,0.679,0.526,0.811,0.695
P33416,0.494,0.344,0.776,0.723
X32373,0.174,0.265,0.562,0.566
X78018,0.158,0.179,0.467,0.533
P93232,0.199,0.21,0.911,0.947
P49241,0.237,0.109,0.436,0.388
X51143,0.233,0.218,0.731,0.578
X76899,0.275,0.274,0.921,1.0
A38417,0.657,0.47,0.776,0.64
X54089,0.287,0.184,0.756,0.869
X77317,0.4,0.227,0.82,0.793
S82630,0.53,0.466,0.709,0.682
X81513,0.184,0.313,0.967,0.961
P96537,0.592,0.443,0.751,0.606
S37232,0.652,0.44,0.766,0.721
P11895,0.196,0.187,0.406,0.333
D42473,0.19,0.186,0.246,0.533
D48750,0.325,0.233,0.776,0.801
X33433,0.173,0.122,0.504,0.409
P54788,0.504,0.355,0.781,0.55
P51258,0.174,0.206,0.441,0.557
A40710,0.46,0.275,0.749,0.792
D98358,0.304,0.208,0.988,0.732
P70151,0.267,0.207,1.0,0.975
S74764,0.588,0.491,0.782,0.73
S61469,0.227,0.229,0.893,0.719
P57933,0.643,0.48,0.792,0.628
X28366,0.293,0.27,0.74,0.728
P27790,0.842,0.73,0.921,0.797
S65662,0.702,0.43,0.835,0.605
A87253,0.474,0.438,0.815,0.693
D56146,0.202,0.154,0.906,0.744
A66238,0.252,0.161,0.812,0.68
S34463,0.162,0.126,0.288,0.39
S64763,0.821,0.724,0.906,0.814
P52522,0.28,0.239,0.538,0.527
S53206,0.468,0.243,0.914,0.696
P72046,0.584,0.357,0.782,0.666
X43490,0.605,0.496,0.77,0.72
S24540,0.491,0.37,0.794,0.671
X44037,0.568,0.543,0.685,0.704
P65129,0.241,0.127,0.462,0.501
X72767,0.272,0.202,0.557,0.606
P84587,0.239,0.225,0.625,0.505
X32377,0.346,0.214,0.861,0.835
D53053,0.248,0.184,0.451,0.526
S30755,0.775,0.789,0.936,0.891
D94840,0.769,0.576,0.828,0.717
S86568,0.863,0.771,0.95,0.933
D41963,0.643,0.461,0.77,0.636
P10057,0.599,0.527,0.793,0.772
A27421,0.289,0.18,0.646,0.86
D53987,0.205,0.249,0.363,0.339
A60116,0.676,0.497,0.775,0.662
D75661,0.695,0.45,0.805,0.655
A41212,0.4,0.283,0.747,0.679
A73994,0.422,0.433,0.806,0.853
A88885,0.523,0.368,0.719,0.727
D37679,0.56,0.494,0.669,0.648
A65730,0.401,0.41,0.715,0.8
X81619,0.328,0.26,0.762,0.865
X84412,0.431,0.355,0.804,0.759
D82462,0.118,0.11,0.211,0.42
S36074,0.191,0.13,0.46,0.511
X80003,0.287,0.266,1.0,0.852
A63857,0.508,0.309,0.816,0.617
P85071,0.333,0.202,0.78,0.814
P78701,0.481,0.462,0.876,0.79
X62776,0.213,0.206,1.0,1.0
A67929,0.397,0.325,0.849,0.725
D65599,0.498,0.446,0.805,0.67
P12518,0.585,0.513,0.717,0.712
P17292,0.263,0.205,0.459,0.241
S67032,0.478,0.47,0.63,0.765
P42748,0.668,0.494,0.854,0.663
P39691,0.326,0.154,0.754,0.765
S55410,0.127,0.251,0.991,0.95
A83968,0.43,0.348,0.816,0.733
S27214,0.81,0.747,0.896,0.862
D36923,0.388,0.412,0.733,0.684
X57407,0.276,0.205,0.61,0.498
A54384,0.276,0.109,0.801,0.776
X57680,0.604,0.415,0.767,0.592
S44219,0.845,0.733,0.936,0.832
X63139,0.423,0.395,0.756,0.696
A18138,0.568,0.521,0.754,0.627
S30118,0.226,0.16,0.628,0.404
D80626,0.466,0.426,0.71,0.679
S78866,0.393,0.143,0.919,0.828
S59489,0.51,0.376,0.776,0.69
D92062,0.387,0.358,0.81,0.722
A99968,0.245,0.278,0.93,0.94
A22524,0.469,0.395,0.836,0.802
A53682,0.725,0.71,0.861,0.892
S89772,0.477,0.358,0.788,0.619
P92650,0.386,0.403,0.732,0.714
X76324,0.305,0.188,0.833,0.784
A27399,0.652,0.512,0.833,0.708
D96387,0.483,0.332,0.774,0.599
S28936,0.5,0.406,0.859,0.801
P77188,0.254,0.213,0.805,0.96
D96556,0.397,0.38,0.802,0.776
S71921,0.261,0.333,0.549,0.585
P88322,0.607,0.438,0.82,0.694
P11117,0.335,0.21,0.763,0.864
D62917,0.573,0.429,0.821,0.745
X53770,0.623,0.494,0.74,0.69
D80567,0.515,0.419,0.618,0.627
P25137,0.204,0.18,0.658,0.717
P40259,0.14,0.147,0.501,0.529
P88726,0.154,0.183,0.403,0.527
D91667,0.446,0.424,0.852,0.781
P26724,0.397,0.375,0.743,0.757
P46367,0.494,0.452,0.709,0.803
P79386,0.227,0.179,0.925,0.942
S44719,0.494,0.377,0.812,0.644
X11041,0.426,0.269,0.673,0.693
S35996,0.541,0.392,0.804,0.698
S50960,0.63,0.509,0.786,0.675
A16002,0.842,0.599,0.946,0.798
S74879,0.646,0.478,0.78,0.551
S67219,0.121,0.298,0.436,0.626
P11424,0.651,0.554,0.8,0.735
D40780,0.054,0.2,0.319,0.258
D81089,0.393,0.313,0.703,0.652
P86878,0.447,0.398,0.659,0.739
A24806,0.3,0.322,0.63,0.689
P77559,0.519,0.365,0.764,0.657
D34328,0.553,0.502,0.755,0.705
P22840,0.184,0.097,0.324,0.309
X33810,0.321,0.307,0.94,0.809
D40831,0.366,0.316,0.829,0.773
X66638,0.611,0.528,0.755,0.673
A94313,0.226,0.201,0.39,0.439
P82669,0.651,0.543,0.794,0.777
S30978,0.223,0.206,0.576,0.694
X84776,0.682,0.576,0.824,0.768
S98820,0.454,0.398,0.736,0.782
X85286,0.277,0.242,0.825,0.954
A80501,0.514,0.4,0.808,0.647
X51668,0.414,0.389,0.576,0.619
P77240,0.651,0.441,0.761,0.674
S99660,0.5,0.401,0.738,0.764
P45952,0.29,0.262,0.812,0.786
A78411,0.198,0.183,0.638,0.698
P66506,0.184,0.13,0.751,0.704
D70716,0.207,0.153,0.419,0.368
A66881,0.234,0.286,0.83,0.747
D90493,0.267,0.167,0.796,0.775
A25249,0.181,0.24,0.873,0.821
P81090,0.537,0.38,0.845,0.84
S10349,0.104,0.197,0.824,0.897
D59556,0.617,0.442,0.763,0.744
P85931,0.303,0.147,1.0,0.902
A39536,0.17,0.238,0.66,0.644
D32774,0.105,0.233,0.537,0.668
X82174,0.618,0.601,0.712,0.753
P94443,0.251,0.23,0.422,0.52
D88636,0.224,0.197,0.36,0.354
D83141,0.204,0.147,1.0,0.99
A72645,0.126,0.187,0.454,0.429
P90651,0.629,0.501,0.767,0.701
A21747,0.302,0.25,0.53,0.464
P46797,0.681,0.512,0.8,0.605
D92607,0.152,0.189,0.293,0.232
A18703,0.496,0.383,0.809,0.713
X33160,0.601,0.389,0.761,0.872
D74393,0.353,0.252,0.887,0.682
X46205,0.312,0.189,0.744,0.78
A92345,0.314,0.258,0.541,0.445
S90385,0.281,0.194,0.792,0.759
S14372,0.283,0.231,0.75,0.749
X44291,0.612,0.513,0.74,0.637
X19168,0.297,0.19,0.78,0.703
D32298,0.196,0.13,0.46,0.345
D78392,0.598,0.456,0.772,0.729
A48805,0.492,0.383,0.684,0.697
P31153,0.661,0.606,0.823,0.75
A19456,0.253,0.244,0.803,0.725
D93412,0.193,0.217,0.298,0.32
P79543,0.662,0.549,0.802,0.742
S85189,0.319,0.377,0.751,0.814
X17800,0.738,0.595,0.882,0.737
D55177,0.736,0.578,0.864,0.744
A58464,0.193,0.228,0.455,0.31
S47682,0.678,0.451,0.804,0.676
A39720,0.623,0.513,0.742,0.724
P22324,0.85,0.693,0.941,0.832
A22625,0.322,0.388,0.547,0.562
S86125,0.194,0.261,0.305,0.389
P36201,0.236,0.123,0.445,0.275
X66028,0.646,0.424,0.773,0.783
D38593,0.279,0.205,0.715,0.533
X58010,0.916,0.756,0.972,0.929
S93808,0.238,0.218,0.868,0.914
S19152,0.493,0.413,0.761,0.698
X51619,0.555,0.585,0.768,0.819
S69540,0.171,0.159,0.911,0.768
X58963,0.681,0.464,0.778,0.746
P52467,0.273,0.229,0.637,0.571
S21130,0.4,0.284,0.561,0.593
P49108,0.236,0.136,0.425,0.303
D67480,0.266,0.117,0.838,0.706
P99363,0.459,0.365,0.774,0.626
P84403,0.675,0.556,0.764,0.74
P35905,0.325,0.372,0.383,0.438
S60628,0.644,0.536,0.785,0.714
D45526,0.2,0.11,0.378,0.428
P56953,0.199,0.157,0.797,0.525
P50112,0.542,0.477,0.788,0.745
P69766,0.557,0.41,0.706,0.779
D46127,0.796,0.713,0.891,0.859
S90957,0.599,0.462,0.806,0.844
D73856,0.582,0.472,0.709,0.604
P66312,0.257,0.184,0.742,0.495
D26827,0.211,0.116,0.49,0.458
X43185,0.52,0.38,0.836,0.743
A73038,0.835,0.703,0.912,0.847
S32155,0.516,0.447,0.782,0.784
A53771,0.546,0.474,0.71,0.73
A85631,0.378,0.4,0.746,0.651
A84471,0.158,0.207,0.297,0.475
A85624,0.227,0.199,0.587,0.455
A68303,0.143,0.22,0.925,0.894
D67253,0.741,0.624,0.888,0.885
P84219,0.536,0.461,0.735,0.643
S15807,0.352,0.443,0.718,0.534
D75723,0.084,0.158,0.596,0.463
X74426,0.507,0.469,0.795,0.724
S74394,0.692,0.607,0.798,0.779
P33731,0.549,0.411,0.776,0.753
S18262,0.526,0.517,0.746,0.775
D43712,0.589,0.556,0.665,0.669
X10681,0.16,0.294,0.441,0.427
X69577,0.445,0.322,0.797,0.606
X91873,0.515,0.456,0.754,0.679
X88188,0.474,0.297,0.782,0.692
S13996,0.483,0.623,0.649,0.774
A60390,0.339,0.351,0.532,0.499
X48985,0.477,0.476,0.773,0.722
X90807,0.413,0.375,0.711,0.672
X49489,0.509,0.372,0.819,0.613
D53858,0.484,0.398,0.762,0.559
P79274,0.807,0.602,0.939,0.826
A99257,0.208,0.187,0.536,0.436
P14045,0.202,0.178,0.36,0.329
X67612,0.628,0.466,0.746,0.693
A63013,0.273,0.206,0.728,0.709
D79275,0.262,0.18,0.541,0.588
A97073,0.519,0.527,0.764,0.681
A26070,0.717,0.63,0.888,0.822
P40218,0.586,0.41,0.834,0.76
S83528,0.452,0.513,0.843,0.797
D30264,0.46,0.393,0.758,0.757
S50563,0.402,0.296,0.754,0.603
D22314,0.657,0.49,0.749,0.672
A18109,0.518,0.471,0.72,0.654
A28940,0.196,0.092,0.315,0.224
P21978,0.259,0.209,0.845,0.742
D63431,0.461,0.353,0.814,0.753
X78009,0.422,0.351,0.706,0.744
D47245,0.425,0.356,0.612,0.667
P68291,0.431,0.434,0.684,0.688
S29569,0.465,0.303,0.83,0.523
A34265,0.128,0.172,0.91,0.909
P42357,0.53,0.358,0.838,0.592
D41608,0.228,0.221,0.833,0.707
P79841,0.192,0.296,0.409,0.43
A34694,0.661,0.588,0.735,0.717
D58811,0.392,0.194,0.823,0.618
A68202,0.65,0.552,0.833,0.756
P76800,0.174,0.194,0.518,0.375
D90824,0.525,0.458,0.687,0.701
S15415,0.419,0.365,0.595,0.394
P90168,0.818,0.714,0.914,0.856
P85055,0.681,0.561,0.768,0.713
X46645,0.274,0.185,0.685,0.888
